FlowCell Text Data File: 250529-1-A1.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-05-29
Time: 22:39:22
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 859429
Source A Zero: 226164.7

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
525990.581, 223681.968, 0.00, 1.080089, , 
524692.903, 223680.290, 0.20, 1.085631, , 
524880.242, 223699.500, 0.30, 1.085021, , 
524891.129, 223693.581, 0.40, 1.084915, , 
524873.339, 223683.065, 0.50, 1.084885, , 
526333.403, 223629.129, 0.60, 1.078091, , 
467118.597, 223310.339, 0.70, 1.343474, , 
516595.839, 223553.758, 0.80, 1.119357, , 
516869.468, 223619.387, 0.89, 1.118826, , 
501957.661, 223545.532, 0.99, 1.183963, , 
517906.081, 223637.742, 1.09, 1.114502, , 
520037.226, 223500.823, 1.19, 1.103882, , 
524084.226, 223631.339, 1.29, 1.087751, , 
522790.435, 223614.935, 1.39, 1.093148, , 
526656.984, 223559.048, 1.49, 1.076003, , 
523905.452, 223585.452, 1.59, 1.088057, , 
528541.097, 223610.984, 1.69, 1.068489, , 
507718.452, 223491.887, 1.79, 1.157743, , 
517337.048, 223606.097, 1.89, 1.116657, , 
521159.435, 223567.581, 1.99, 1.099703, , 
523599.306, 223552.403, 2.09, 1.089039, , 
524733.484, 223523.323, 2.19, 1.083877, , 
519268.032, 223575.081, 2.29, 1.107961, , 
528705.145, 223692.242, 2.39, 1.068608, , 
488943.516, 223504.306, 2.49, 1.242664, , 
512467.484, 223617.806, 2.59, 1.138058, , 
504785.532, 223519.194, 2.69, 1.171055, , 
366610.806, 223136.065, 2.79, 1.886958, , 
5838.855, 222490.565, 2.89, 11.196714, , 
5732.145, 222513.597, 2.99, 11.238456, , 
5654.597, 222518.645, 3.08, 11.269161, , 
5557.355, 222524.839, 3.18, 11.308261, , 
5535.048, 222555.242, 3.28, 11.317619, , 
5508.903, 222598.468, 3.38, 11.328711, , 
5470.774, 222619.468, 3.48, 11.344554, , 
5423.242, 222564.387, 3.58, 11.363635, , 
5413.661, 222466.806, 3.68, 11.366627, , 
5427.645, 222455.871, 3.78, 11.360711, , 
5464.048, 222476.145, 3.88, 11.345873, , 
5550.339, 222518.903, 3.98, 11.311043, , 
5689.306, 222568.677, 4.08, 11.255895, , 
5890.403, 222627.097, 4.18, 11.178314, , 
6168.887, 222683.371, 4.28, 11.074926, , 
6539.823, 222586.129, 4.38, 10.942537, , 
7000.258, 222605.823, 4.48, 10.789623, , 
7605.952, 222628.306, 4.58, 10.603100, , 
8353.694, 222637.677, 4.68, 10.392166, , 
9239.048, 222524.258, 4.78, 10.164321, , 
10267.516, 222664.774, 4.87, 9.928217, , 
11606.048, 222622.403, 4.98, 9.652017, , 
13097.742, 222597.581, 5.07, 9.379658, , 
14845.855, 222646.694, 5.17, 9.098218, , 
16829.387, 222546.839, 5.27, 8.814991, , 
19254.419, 222505.984, 5.37, 8.511638, , 
22090.597, 222567.355, 5.47, 8.203023, , 
25567.919, 222495.694, 5.57, 7.873315, , 
29131.581, 222476.694, 5.67, 7.579476, 1, 0.795
33084.516, 222555.194, 5.77, 7.293919, , 
37650.790, 222580.613, 5.87, 7.003220, , 
43013.339, 222570.790, 5.97, 6.703461, , 
48612.645, 222531.839, 6.07, 6.427674, , 
55113.790, 222510.339, 6.17, 6.144990, , 
62086.194, 222495.210, 6.27, 5.876757, , 
69659.129, 222523.484, 6.37, 5.618040, , 
78344.935, 222605.258, 6.47, 5.354424, , 
88832.371, 222529.968, 6.57, 5.070941, , 
98658.065, 222592.194, 6.67, 4.835479, , 
109840.968, 222593.210, 6.77, 4.593852, , 
122038.387, 222529.613, 6.87, 4.356234, , 
134877.242, 222511.065, 6.96, 4.130936, , 
147333.677, 222569.968, 7.06, 3.932740, , 
160118.387, 222569.968, 7.16, 3.745473, , 
173979.694, 222569.968, 7.27, 3.558631, , 
186860.774, 222569.968, 7.36, 3.397893, , 
200362.887, 222569.968, 7.47, 3.240888, , 
213087.258, 222569.968, 7.57, 3.102325, , 
226332.403, 222628.597, 7.67, 2.967210, , 
239884.500, 222633.516, 7.76, 2.836391, , 
254682.419, 222713.290, 7.86, 2.702486, , 
266815.242, 222533.758, 7.96, 2.595938, , 
279956.000, 222771.113, 8.06, 2.490145, , 
293376.419, 222724.452, 8.16, 2.384299, , 
307110.516, 222673.048, 8.26, 2.280820, , 
319589.452, 222682.661, 8.36, 2.191283, , 
333867.258, 222640.742, 8.46, 2.092501, , 
346103.758, 222795.984, 8.56, 2.013065, , 
358491.790, 222781.323, 8.66, 1.933776, , 
370482.919, 222794.516, 8.76, 1.859866, , 
383460.984, 222808.613, 8.86, 1.782525, , 
394246.629, 222790.919, 8.96, 1.719922, , 
404243.113, 222809.161, 9.06, 1.663756, , 
414536.871, 222944.645, 9.16, 1.608535, , 
423744.952, 222997.645, 9.26, 1.559629, , 
431631.645, 222900.677, 9.36, 1.517150, , 
441626.871, 222930.565, 9.46, 1.465933, , 
448865.000, 222916.823, 9.55, 1.429209, , 
457032.629, 222961.339, 9.66, 1.389077, , 
464746.097, 223044.952, 9.75, 1.352257, , 
469530.194, 222986.629, 9.85, 1.328621, , 
473893.048, 223122.952, 9.95, 1.309182, , 
477467.129, 223113.468, 10.05, 1.292177, , 
479363.306, 223058.371, 10.15, 1.282702, , 
480784.613, 223139.210, 10.25, 1.276855, , 
481100.887, 223142.694, 10.35, 1.275410, , 
479616.468, 223011.919, 10.45, 1.281045, , 
477684.919, 223003.500, 10.55, 1.290041, , 
475940.645, 223010.629, 10.65, 1.298346, , 
473837.581, 223060.919, 10.75, 1.308820, , 
470413.532, 222976.129, 10.85, 1.324285, , 
