FlowCell Text Data File: 250529-blank.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-05-29
Time: 22:10:42
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 859429
Source A Zero: 226164.7

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
849844.532, 224787.500, 10.26, 0.011493, , 
849645.935, 224746.968, 10.35, 0.011613, , 
849386.032, 224668.677, 10.45, 0.011517, , 
849730.871, 224750.806, 10.56, 0.011426, , 
849925.226, 224822.806, 10.65, 0.011632, , 
849488.177, 224701.290, 10.75, 0.011573, , 
849564.790, 224642.516, 10.85, 0.010781, , 
849696.065, 224686.194, 10.95, 0.010871, , 
848814.484, 224555.306, 11.05, 0.011896, , 
849324.968, 224583.016, 11.15, 0.010821, , 
849310.758, 224552.613, 11.25, 0.010554, 2, 0.796
849245.790, 224614.661, 11.35, 0.011348, , 
849764.903, 224627.484, 11.45, 0.010101, , 
849429.871, 224571.274, 11.55, 0.010425, , 
849565.274, 224573.484, 11.65, 0.010089, , 
849824.226, 224642.903, 11.75, 0.010098, , 
850147.629, 224711.403, 11.85, 0.009928, , 
850342.694, 224743.065, 11.95, 0.009729, , 
850177.597, 224709.742, 12.05, 0.009832, , 
849994.468, 224663.371, 12.15, 0.009852, , 
849798.097, 224622.210, 12.25, 0.009960, , 
849595.210, 224536.710, 12.35, 0.009641, , 
849631.758, 224535.355, 12.45, 0.009530, , 
849809.952, 224589.032, 12.55, 0.009596, , 
849742.290, 224594.500, 12.65, 0.009830, , 
849605.952, 224594.500, 12.75, 0.010191, , 
849960.581, 224594.500, 12.85, 0.009252, , 
849709.710, 224594.500, 12.95, 0.009917, , 
849463.210, 224594.500, 13.05, 0.010569, , 
849674.194, 224594.500, 13.15, 0.010011, , 
849950.242, 224576.790, 13.24, 0.009102, , 
849957.565, 224555.516, 13.34, 0.008870, , 
849867.290, 224552.500, 13.44, 0.009078, , 
850226.726, 224657.790, 13.54, 0.009182, , 
850615.290, 224734.935, 13.64, 0.008926, , 
850738.129, 224740.565, 13.74, 0.008658, , 
850464.081, 224659.452, 13.84, 0.008570, , 
850297.081, 224646.000, 13.94, 0.008877, , 
850391.387, 224642.726, 14.04, 0.008595, , 
850269.677, 224645.435, 14.14, 0.008944, , 
850656.935, 224723.339, 14.24, 0.008700, , 
850786.742, 224731.306, 14.34, 0.008436, , 
850421.161, 224639.597, 14.44, 0.008485, , 
850579.871, 224692.387, 14.54, 0.008594, , 
850609.742, 224700.919, 14.64, 0.008600, , 
850596.500, 224678.758, 14.74, 0.008413, , 
850823.645, 224729.694, 14.84, 0.008322, , 
850356.081, 224623.919, 14.94, 0.008500, , 
850631.419, 224687.790, 15.04, 0.008411, , 
850324.597, 224731.065, 15.13, 0.009657, , 
850874.790, 224745.355, 15.23, 0.008344, , 
850833.516, 224721.677, 15.33, 0.008216, , 
851100.774, 224825.339, 15.43, 0.008547, , 
851130.177, 224845.323, 15.53, 0.008669, , 
851262.758, 224804.452, 15.63, 0.007910, , 
851023.984, 224755.984, 15.73, 0.008056, , 
851057.500, 224785.226, 15.83, 0.008260, , 
850574.548, 224628.613, 15.93, 0.007969, , 
850349.984, 224609.935, 16.03, 0.008376, , 
850437.565, 224606.677, 16.13, 0.008112, , 
850301.565, 224541.113, 16.23, 0.007815, , 
850374.968, 224572.581, 16.33, 0.007936, , 
850451.903, 224620.306, 16.43, 0.008210, , 
850722.048, 224676.048, 16.53, 0.008054, , 
850785.758, 224664.694, 16.63, 0.007772, , 
850516.871, 224618.694, 16.73, 0.008022, , 
850700.726, 224700.306, 16.83, 0.008353, 3, 0.795
851112.790, 224773.548, 16.92, 0.007997, , 
850685.371, 224692.839, 17.03, 0.008319, , 
850599.484, 224645.903, 17.13, 0.008076, , 
851039.952, 224727.339, 17.22, 0.007727, , 
851089.500, 224758.145, 17.32, 0.007904, , 
850960.371, 224732.903, 17.42, 0.007993, , 
850820.113, 224661.065, 17.52, 0.007644, , 
851227.000, 224761.452, 17.62, 0.007574, , 
851242.145, 224762.742, 17.72, 0.007547, , 
850899.968, 224707.613, 17.82, 0.007899, , 
851154.565, 224774.323, 17.92, 0.007894, , 
851073.565, 224774.597, 18.02, 0.008111, , 
851262.532, 224775.435, 18.12, 0.007620, , 
850982.677, 224722.339, 18.22, 0.007828, , 
851036.565, 224722.339, 18.32, 0.007686, , 
850844.935, 224722.339, 18.42, 0.008193, , 
850931.742, 224693.484, 18.52, 0.007674, , 
850589.871, 224693.484, 18.62, 0.008578, , 
850843.339, 224693.484, 18.72, 0.007908, , 
851057.065, 224780.935, 18.82, 0.008218, , 
851031.065, 224787.065, 18.92, 0.008348, , 
851089.000, 224765.903, 19.02, 0.007983, , 
850823.597, 224711.258, 19.12, 0.008138, , 
850346.968, 224625.016, 19.22, 0.008535, , 
850292.210, 224604.645, 19.32, 0.008476, , 
850444.032, 224574.903, 19.42, 0.007776, , 
850351.081, 224577.935, 19.52, 0.008053, , 
850325.581, 224574.242, 19.62, 0.008083, , 
850399.048, 224592.113, 19.72, 0.008068, , 
850754.032, 224662.387, 19.82, 0.007833, , 
850699.919, 224681.290, 19.92, 0.008165, , 
851020.839, 224726.742, 20.02, 0.007771, , 
851084.371, 224771.177, 20.12, 0.008048, , 
850710.339, 224681.145, 20.21, 0.008136, , 
850563.355, 224665.274, 20.31, 0.008366, , 
851427.694, 224865.258, 20.41, 0.008082, , 
850920.323, 224741.581, 20.51, 0.008186, , 
850351.419, 224609.871, 20.61, 0.008372, , 
850540.000, 224652.113, 20.71, 0.008296, , 
