FlowCell Text Data File: 250601-2-B3.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-06-01
Time: 20:15:35
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 551199
Source A Zero: 228011.0

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
534281.097, 224944.532, 0.00, 0.039685, , 
533873.484, 224944.532, 0.20, 0.041403, , 
535784.468, 224908.452, 0.30, 0.033001, , 
531562.903, 224949.645, 0.40, 0.051215, , 
533186.403, 224928.274, 0.50, 0.044138, , 
531355.726, 224894.210, 0.60, 0.051537, , 
534665.790, 224882.532, 0.70, 0.037445, , 
533474.871, 224794.935, 0.80, 0.041587, , 
531350.226, 224785.661, 0.90, 0.050474, , 
534546.839, 224832.597, 1.00, 0.037446, , 
533194.645, 224925.774, 1.10, 0.044078, , 
532051.758, 224857.081, 1.20, 0.048220, , 
534420.710, 224769.081, 1.29, 0.037341, , 
532008.032, 224786.484, 1.39, 0.047698, , 
532456.677, 224772.290, 1.49, 0.045659, , 
534279.258, 224768.661, 1.59, 0.037933, , 
531255.371, 224743.806, 1.69, 0.050457, , 
533045.952, 224796.726, 1.79, 0.043415, , 
533635.177, 224745.710, 1.89, 0.040418, , 
530964.419, 224798.065, 1.99, 0.052233, , 
533618.290, 224848.242, 2.09, 0.041515, , 
533372.742, 224779.226, 2.19, 0.041860, , 
530773.097, 224780.661, 2.29, 0.052870, , 
534133.774, 224758.548, 2.39, 0.038444, , 
532122.371, 224732.855, 2.49, 0.046678, , 
531750.726, 224764.500, 2.59, 0.048567, , 
533940.323, 224875.839, 2.69, 0.040434, , 
530476.613, 224751.387, 2.79, 0.053834, , 
533367.161, 224819.355, 2.89, 0.042285, , 
532593.935, 224727.274, 2.99, 0.044628, , 
530693.968, 224660.403, 3.09, 0.052001, , 
441849.177, 224453.887, 3.18, 0.462249, , 
86743.629, 223775.532, 3.28, 4.119173, , 
101154.290, 223828.435, 3.38, 3.773835, , 
100115.403, 223869.435, 3.48, 3.797480, , 
98692.484, 223897.952, 3.58, 3.829981, , 
97077.419, 223901.065, 3.68, 3.867144, , 
96033.258, 223857.306, 3.78, 3.891041, , 
93942.258, 223868.081, 3.88, 3.940691, , 
92086.484, 223825.016, 3.98, 3.985159, , 
89773.597, 223783.452, 4.08, 4.041986, , 
87463.871, 223721.435, 4.18, 4.100020, , 
85357.758, 223740.145, 4.28, 4.155061, , 
82612.581, 223811.097, 4.38, 4.229340, , 
80193.000, 223843.855, 4.48, 4.296566, , 
77764.290, 223853.532, 4.58, 4.365872, , 
75954.000, 223735.823, 4.68, 4.417697, , 
74417.758, 223805.145, 4.78, 4.464378, , 
72877.742, 223713.500, 4.88, 4.510515, , 
71481.306, 223856.758, 4.97, 4.555496, , 
70347.677, 223839.048, 5.08, 4.591294, , 
69554.839, 223838.790, 5.18, 4.616798, , 
67773.919, 223808.839, 5.27, 4.674869, , 
65191.581, 223868.097, 5.37, 4.762888, , 
62447.194, 223882.468, 5.47, 4.859821, , 
58562.258, 223836.597, 5.57, 5.003907, , 
54612.290, 223862.048, 5.67, 5.161315, 1, 0.794
51764.887, 223804.387, 5.77, 5.281239, , 
49286.500, 223780.919, 5.87, 5.391413, , 
47781.968, 223780.484, 5.97, 5.461177, , 
44858.790, 223771.855, 6.07, 5.603157, , 
43443.145, 223777.613, 6.17, 5.675378, , 
41754.500, 223754.242, 6.27, 5.764364, , 
40444.226, 223766.839, 6.37, 5.836242, , 
39279.984, 223733.758, 6.47, 5.901642, , 
38230.726, 223663.919, 6.57, 5.961871, , 
37456.919, 223735.290, 6.67, 6.008606, , 
36653.516, 223691.468, 6.77, 6.056959, , 
36104.790, 223777.726, 6.87, 6.091772, , 
35656.339, 223708.129, 6.97, 6.119199, , 
35405.452, 223792.839, 7.07, 6.135942, , 
35257.581, 223792.839, 7.16, 6.145361, , 
35271.435, 223792.839, 7.27, 6.144476, , 
35433.258, 223792.839, 7.37, 6.134175, , 
35664.887, 223792.839, 7.46, 6.119512, , 
36096.694, 223700.984, 7.56, 6.091505, , 
36625.532, 223772.790, 7.66, 6.059496, , 
37305.000, 223863.177, 7.76, 6.019038, , 
38072.887, 223734.694, 7.86, 5.971893, , 
38988.435, 223814.565, 7.96, 5.919220, , 
40029.145, 223730.290, 8.06, 5.859090, , 
41265.306, 223744.113, 8.16, 5.790784, , 
42671.629, 223717.742, 8.26, 5.715101, , 
44104.710, 223829.258, 8.36, 5.641886, , 
45791.323, 223751.161, 8.46, 5.556646, , 
47649.065, 223839.435, 8.56, 5.468038, , 
49677.500, 223623.435, 8.66, 5.372046, , 
51963.952, 223656.097, 8.76, 5.271109, , 
54605.355, 223620.742, 8.86, 5.159173, , 
57260.290, 223702.403, 8.96, 5.053155, , 
60245.048, 223483.306, 9.06, 4.936598, , 
63425.597, 223606.339, 9.16, 4.822058, , 
67035.774, 223623.113, 9.26, 4.697645, , 
70790.177, 223446.290, 9.35, 4.573230, , 
75032.677, 223438.823, 9.46, 4.442172, , 
79221.339, 223278.935, 9.55, 4.318313, , 
84231.871, 223425.677, 9.65, 4.181777, , 
89624.742, 223360.984, 9.75, 4.041468, , 
94806.645, 223489.435, 9.85, 3.916269, , 
100417.871, 223421.855, 9.95, 3.786187, , 
107548.242, 223443.113, 10.05, 3.632023, , 
114363.597, 223655.871, 10.15, 3.495890, , 
121511.323, 223759.790, 10.25, 3.360504, , 
129146.903, 223798.968, 10.35, 3.223750, , 
137037.984, 223843.774, 10.45, 3.090732, , 
145071.500, 223820.758, 10.55, 2.962297, , 
153970.194, 223809.032, 10.65, 2.828205, , 
163910.242, 223700.435, 10.75, 2.686326, , 
173164.048, 223729.016, 10.85, 2.563018, , 
182495.645, 223781.935, 10.95, 2.445432, , 
192771.000, 223736.048, 11.05, 2.321699, , 
203233.548, 223707.387, 11.15, 2.202469, , 
214210.742, 223784.984, 11.25, 2.084867, 2, 0.795
225393.113, 223765.387, 11.35, 1.970154, , 
235764.323, 223783.387, 11.44, 1.869096, , 
247073.242, 223810.984, 11.55, 1.763936, , 
258543.419, 223819.194, 11.64, 1.661896, , 
270478.806, 223850.823, 11.74, 1.560652, , 
281035.113, 223803.887, 11.84, 1.474020, , 
291403.194, 223742.500, 11.94, 1.391873, , 
301619.387, 223760.597, 12.04, 1.314510, , 
312092.903, 223769.468, 12.14, 1.237780, , 
323334.806, 223710.968, 12.24, 1.157555, , 
333749.032, 223857.290, 12.34, 1.087685, , 
343411.161, 223784.016, 12.44, 1.022723, , 
353419.500, 223708.677, 12.54, 0.957316, , 
363508.774, 223753.677, 12.64, 0.894424, , 
373839.774, 223753.677, 12.74, 0.831359, , 
382345.129, 223753.677, 12.84, 0.780732, , 
391228.919, 223753.677, 12.94, 0.729041, , 
400083.548, 223753.677, 13.04, 0.678675, , 
408938.435, 223753.677, 13.14, 0.629411, , 
418136.565, 223922.806, 13.24, 0.581053, , 
426243.468, 223907.097, 13.34, 0.537681, , 
434218.532, 223907.065, 13.44, 0.495964, , 
442659.016, 223900.565, 13.54, 0.452574, , 
451073.113, 223970.290, 13.64, 0.410900, , 
457426.516, 223975.548, 13.74, 0.379476, , 
463764.710, 224042.403, 13.84, 0.349179, , 
469462.548, 224027.581, 13.94, 0.321550, , 
475555.516, 224087.032, 14.03, 0.293127, , 
480710.726, 224022.145, 14.13, 0.268211, , 
486040.935, 224146.661, 14.23, 0.244646, , 
490212.516, 224127.113, 14.33, 0.225217, , 
494478.774, 224188.581, 14.43, 0.206334, , 
498687.258, 224291.710, 14.53, 0.188296, , 
501313.790, 224234.887, 14.63, 0.175904, , 
504715.613, 224250.597, 14.73, 0.160843, , 
507041.032, 224316.048, 14.83, 0.151154, , 
508553.597, 224234.565, 14.93, 0.143634, , 
510156.613, 224212.742, 15.03, 0.136332, , 
511503.419, 224221.758, 15.13, 0.130489, , 
512834.290, 224272.758, 15.23, 0.125153, , 
513009.613, 224162.194, 15.33, 0.123274, , 
513453.016, 224129.742, 15.43, 0.121004, , 
513439.855, 224117.387, 15.53, 0.120938, , 
513503.306, 224083.871, 15.63, 0.120323, , 
513277.306, 224110.984, 15.73, 0.121586, , 
513067.968, 224261.742, 15.83, 0.124018, , 
512596.048, 224287.177, 15.92, 0.126344, , 
511605.113, 224235.419, 16.02, 0.130179, , 
511168.645, 224204.387, 16.13, 0.131788, , 
510147.984, 224268.016, 16.22, 0.136925, , 
508908.742, 224234.532, 16.32, 0.142062, , 
507499.629, 224191.371, 16.42, 0.147869, , 
506406.742, 224232.935, 16.52, 0.153137, , 
505147.855, 224276.548, 16.62, 0.159177, , 
502842.677, 224207.194, 16.72, 0.168774, , 
501288.790, 224216.806, 16.82, 0.175835, 3, 0.795
499469.887, 224212.468, 16.92, 0.183972, , 
498027.871, 224264.323, 17.02, 0.190999, , 
496540.968, 224257.694, 17.12, 0.197661, , 
494574.726, 224265.484, 17.22, 0.206669, , 
493230.774, 224358.210, 17.32, 0.213723, , 
491757.194, 224326.177, 17.42, 0.220135, , 
489618.661, 224211.306, 17.52, 0.228790, , 
488185.258, 224188.903, 17.62, 0.235163, , 
486354.484, 224238.984, 17.72, 0.244121, , 
485015.952, 224254.000, 17.82, 0.250474, , 
483405.145, 224178.097, 17.92, 0.257199, , 
482586.048, 224214.274, 18.02, 0.261378, , 
481293.661, 224275.952, 18.11, 0.268032, , 
479669.790, 224214.984, 18.22, 0.275026, , 
478256.855, 224214.984, 18.31, 0.281665, , 
477105.113, 224214.984, 18.41, 0.287091, , 
475452.935, 224214.984, 18.52, 0.294897, , 
473312.839, 224214.984, 18.61, 0.305050, , 
471479.806, 224152.565, 18.71, 0.313156, , 
469643.323, 224164.871, 18.81, 0.322062, , 
467520.935, 224056.581, 18.91, 0.331168, , 
465354.032, 224175.210, 19.01, 0.342814, , 
462355.274, 224216.548, 19.11, 0.357777, , 
460193.387, 224155.258, 19.21, 0.367710, , 
457878.823, 224228.871, 19.31, 0.379796, , 
454934.839, 224321.435, 19.41, 0.395241, , 
451416.290, 224172.613, 19.51, 0.411220, , 
448117.387, 224154.855, 19.61, 0.427548, , 
444205.226, 224127.677, 19.71, 0.447008, , 
440700.806, 224129.000, 19.81, 0.464846, , 
437013.258, 224181.113, 19.91, 0.484279, , 
433259.065, 224292.629, 20.01, 0.504814, , 
428656.081, 224252.097, 20.11, 0.528444, , 
424208.355, 224400.048, 20.20, 0.553401, , 
419908.968, 224297.032, 20.31, 0.575292, , 
414752.694, 224258.242, 20.41, 0.602708, , 
410432.081, 224374.984, 20.50, 0.627446, , 
406125.081, 224319.016, 20.60, 0.650625, , 
402366.081, 224236.790, 20.70, 0.670726, , 
398569.145, 224223.226, 20.80, 0.691927, , 
395421.032, 224276.403, 20.90, 0.710307, , 
392264.839, 224255.839, 21.00, 0.728135, , 
389123.129, 224230.452, 21.10, 0.745977, , 
386419.355, 224231.468, 21.20, 0.761679, , 
383761.887, 224275.290, 21.30, 0.777649, , 
381065.935, 224342.935, 21.40, 0.794192, , 
378550.645, 224223.661, 21.50, 0.807899, , 
376391.871, 224310.371, 21.60, 0.821640, , 
374709.532, 224261.403, 21.70, 0.831230, , 
373245.694, 224205.984, 21.80, 0.839482, , 
372562.806, 224254.194, 21.90, 0.844087, , 
371638.194, 224267.452, 22.00, 0.849812, , 
371343.597, 224253.871, 22.10, 0.851461, , 
371636.097, 224226.613, 22.19, 0.849415, , 
371788.694, 224258.500, 22.30, 0.848811, , 
