FlowCell Text Data File: 250529-6-F1.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-05-29
Time: 23:34:13
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 859429
Source A Zero: 226164.7

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
576425.468, 224945.403, 0.00, 0.886708, , 
571299.823, 224976.516, 0.20, 0.907120, , 
557256.339, 224976.516, 0.30, 0.963131, , 
555355.323, 225106.629, 0.40, 0.972122, , 
551207.081, 224876.597, 0.50, 0.986694, , 
557119.194, 224877.774, 0.60, 0.962697, , 
556575.645, 224879.339, 0.70, 0.964909, , 
539920.758, 224869.887, 0.80, 1.033185, , 
553528.452, 224855.484, 0.90, 0.977025, , 
541396.468, 224796.839, 1.00, 1.026311, , 
546766.468, 224774.419, 1.09, 1.003875, , 
545741.145, 224703.323, 1.19, 1.007387, , 
537094.984, 224740.565, 1.29, 1.043699, , 
548687.129, 224759.452, 1.39, 0.995834, , 
531773.387, 224734.597, 1.49, 1.066048, , 
543447.726, 224736.419, 1.59, 1.017196, , 
533714.242, 224762.274, 1.69, 1.058126, , 
522578.516, 224757.484, 1.79, 1.105530, , 
533392.823, 224697.629, 1.89, 1.058835, , 
510239.984, 224665.000, 1.99, 1.158376, , 
523982.710, 224736.113, 2.09, 1.099277, , 
507344.145, 224724.855, 2.19, 1.171784, , 
511582.855, 224675.097, 2.29, 1.152562, , 
513016.629, 224746.065, 2.39, 1.146974, , 
502552.065, 224742.565, 2.49, 1.193318, , 
515327.097, 224748.403, 2.59, 1.136885, , 
497762.258, 224755.484, 2.69, 1.214999, , 
515353.323, 224796.371, 2.79, 1.137251, , 
496977.758, 224677.790, 2.89, 1.217771, , 
292027.500, 224285.097, 2.99, 2.410385, , 
9033.903, 224014.097, 3.08, 10.229870, , 
5669.403, 224116.532, 3.18, 11.279378, , 
5599.484, 224079.581, 3.28, 11.306934, , 
5543.694, 224036.823, 3.38, 11.329039, , 
5522.387, 224027.468, 3.48, 11.337611, , 
5532.452, 224086.903, 3.58, 11.334110, , 
5540.952, 224062.000, 3.68, 11.330405, , 
5554.661, 223990.177, 3.78, 11.324122, , 
5600.258, 224054.500, 3.88, 11.306371, , 
5678.435, 223952.129, 3.98, 11.274144, , 
5770.710, 224000.468, 4.08, 11.238354, , 
5897.274, 223839.177, 4.18, 11.187910, , 
6053.661, 223923.355, 4.28, 11.129855, , 
6238.161, 223953.823, 4.38, 11.062598, , 
6461.774, 223844.000, 4.48, 10.982238, , 
6789.581, 223900.500, 4.58, 10.871442, , 
7132.387, 223916.839, 4.68, 10.760757, , 
7544.710, 224094.145, 4.78, 10.636063, , 
8101.935, 224154.065, 4.88, 10.476306, , 
8842.968, 223928.968, 4.98, 10.277088, , 
9762.145, 223838.065, 5.07, 10.053630, , 
10905.097, 223860.677, 5.17, 9.804693, , 
12305.129, 223864.661, 5.27, 9.532912, , 
13990.468, 223812.484, 5.37, 9.243522, , 
15951.516, 223785.306, 5.47, 8.948042, , 
18310.871, 223876.516, 5.57, 8.638531, , 
20737.435, 223779.226, 5.67, 8.357496, 1, 0.795
23726.016, 223759.387, 5.77, 8.054317, , 
27533.000, 223860.452, 5.87, 7.720439, , 
31250.097, 223792.210, 5.97, 7.434764, , 
35287.774, 223779.274, 6.07, 7.161174, , 
39771.952, 223834.484, 6.17, 6.892520, , 
44566.290, 223835.419, 6.27, 6.636394, , 
50014.452, 223878.952, 6.37, 6.377280, , 
56046.839, 223728.081, 6.47, 6.119493, , 
63306.435, 223810.210, 6.57, 5.846217, , 
70469.952, 223838.581, 6.67, 5.605257, , 
78371.339, 223835.129, 6.77, 5.366065, , 
87254.581, 223869.016, 6.87, 5.124772, , 
96877.839, 223793.048, 6.97, 4.888566, , 
106654.048, 223869.258, 7.06, 4.672976, , 
117069.581, 223869.258, 7.16, 4.463285, , 
128361.887, 223869.258, 7.27, 4.256054, , 
139799.452, 223869.258, 7.37, 4.063967, , 
151989.371, 223869.258, 7.47, 3.875827, , 
164178.339, 223869.258, 7.57, 3.702222, , 
176560.516, 223894.000, 7.66, 3.538841, , 
189216.016, 223924.032, 7.76, 3.383355, , 
202785.097, 223885.968, 7.86, 3.227113, , 
215350.758, 223879.323, 7.96, 3.091747, , 
228286.871, 223930.871, 8.06, 2.960986, , 
241651.081, 223938.694, 8.16, 2.833033, , 
254737.855, 223826.548, 8.26, 2.713217, , 
266840.613, 223876.823, 8.36, 2.609266, , 
280193.823, 223896.419, 8.46, 2.499574, , 
292473.226, 223895.355, 8.56, 2.403038, , 
304630.581, 223962.968, 8.66, 2.312065, , 
316897.500, 223983.661, 8.76, 2.223429, , 
329268.613, 224000.016, 8.86, 2.137412, , 
340521.935, 223934.419, 8.96, 2.061125, , 
351422.629, 223983.581, 9.06, 1.990708, , 
361962.161, 224023.210, 9.16, 1.924605, , 
372611.806, 224105.952, 9.26, 1.860180, , 
382054.016, 224007.032, 9.36, 1.802869, , 
391759.887, 224049.226, 9.46, 1.746836, , 
399850.339, 224109.774, 9.56, 1.701443, , 
408399.339, 224052.065, 9.65, 1.653255, , 
415777.597, 224058.097, 9.75, 1.613021, , 
422458.839, 224112.839, 9.85, 1.577696, , 
428150.210, 224183.419, 9.95, 1.548289, , 
433663.855, 224148.887, 10.05, 1.519146, , 
437977.452, 224076.097, 10.15, 1.496141, , 
441560.500, 224059.871, 10.25, 1.477643, , 
444790.226, 224128.758, 10.35, 1.461934, , 
446659.081, 224039.774, 10.45, 1.451604, , 
448397.355, 224077.726, 10.55, 1.443245, , 
449823.871, 224114.274, 10.65, 1.436463, , 
451133.774, 224132.774, 10.75, 1.430105, , 
450997.806, 224171.694, 10.85, 1.431174, , 
450956.210, 224113.742, 10.95, 1.430800, , 
450508.484, 224027.742, 11.05, 1.432172, , 
450728.145, 224150.016, 11.15, 1.432303, , 
