FlowCell Text Data File: 250529-4-D1.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-05-29
Time: 23:12:55
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 859429
Source A Zero: 226164.7

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
568921.790, 225067.597, 0.00, 0.917418, , 
571219.613, 225067.597, 0.20, 0.908347, , 
567476.000, 225067.597, 0.30, 0.923144, , 
563276.032, 224990.984, 0.40, 0.939096, , 
542611.532, 224995.597, 0.50, 1.023255, , 
549826.645, 224986.371, 0.60, 0.993436, , 
542680.565, 224932.968, 0.70, 1.022342, , 
552529.210, 224927.016, 0.80, 0.981807, , 
548181.210, 224874.823, 0.90, 0.999064, , 
546691.161, 224940.694, 1.00, 1.005849, , 
537815.855, 225027.484, 1.09, 1.043552, , 
546407.968, 225021.081, 1.20, 1.007819, , 
528886.323, 224965.000, 1.30, 1.080605, , 
537301.710, 224962.613, 1.40, 1.045055, , 
529712.597, 224906.129, 1.49, 1.076503, , 
523814.226, 224851.903, 1.59, 1.101160, , 
533514.952, 224856.210, 1.69, 1.059907, , 
515664.532, 224869.887, 1.79, 1.136628, , 
531037.839, 224879.065, 1.89, 1.070609, , 
518866.419, 224979.177, 1.99, 1.123791, , 
520820.323, 224847.887, 2.09, 1.114019, , 
525442.484, 224827.645, 2.19, 1.093932, , 
508189.145, 224943.677, 2.29, 1.170229, , 
520496.758, 224891.403, 2.39, 1.115853, , 
499268.935, 224948.516, 2.49, 1.210130, , 
513544.161, 225028.081, 2.59, 1.147483, , 
498985.145, 224963.774, 2.69, 1.211562, , 
471914.839, 224759.258, 2.79, 1.335039, , 
416203.468, 224522.903, 2.89, 1.615381, , 
10573.000, 223934.387, 2.99, 9.875033, , 
8104.177, 224017.468, 3.09, 10.474312, , 
7905.387, 224028.532, 3.18, 10.530313, , 
7726.452, 223986.984, 3.29, 10.581419, , 
7604.645, 223982.129, 3.38, 10.617130, , 
7533.839, 224049.855, 3.48, 10.638863, , 
7502.242, 223991.694, 3.58, 10.647737, , 
7486.935, 224091.161, 3.68, 10.653332, , 
7475.710, 223957.661, 3.78, 10.655368, , 
7489.161, 224019.032, 3.88, 10.651938, , 
7501.484, 223978.935, 3.98, 10.647836, , 
7530.129, 224025.613, 4.08, 10.639728, , 
7559.710, 223957.306, 4.18, 10.630218, , 
7618.452, 223986.032, 4.28, 10.613088, , 
7695.903, 223815.177, 4.38, 10.588607, , 
7813.016, 223964.435, 4.48, 10.556119, , 
8016.935, 223995.968, 4.58, 10.498453, , 
8365.661, 223968.387, 4.68, 10.402355, , 
8810.468, 223896.968, 4.78, 10.285053, , 
9374.613, 223875.839, 4.88, 10.145168, , 
10226.597, 223953.548, 4.98, 9.950191, , 
11223.403, 223962.935, 5.08, 9.740974, , 
12581.774, 223699.823, 5.18, 9.481221, , 
14268.500, 223726.032, 5.28, 9.198368, , 
16716.435, 223720.919, 5.38, 8.841987, , 
19591.855, 223824.903, 5.47, 8.485840, , 
23385.419, 223860.403, 5.57, 8.087873, , 
27460.306, 223837.903, 5.67, 7.726162, 1, 0.795
32107.339, 223714.968, 5.77, 7.373085, , 
37290.161, 223644.161, 5.87, 7.035607, , 
43179.339, 223689.177, 5.97, 6.706073, , 
49251.774, 223744.548, 6.07, 6.410510, , 
55796.097, 223761.774, 6.17, 6.129922, , 
63024.258, 223783.081, 6.27, 5.855998, , 
70110.565, 223922.661, 6.37, 5.617609, , 
78081.645, 223969.468, 6.47, 5.375749, , 
86958.532, 223971.726, 6.57, 5.133453, , 
95959.226, 223823.790, 6.67, 4.910316, , 
104875.581, 223808.565, 6.77, 4.710209, , 
114930.677, 223818.726, 6.87, 4.504274, , 
125719.435, 223752.016, 6.97, 4.301686, , 
136626.129, 223845.968, 7.07, 4.115404, , 
147460.855, 223845.968, 7.16, 3.943663, , 
159450.000, 223845.968, 7.27, 3.767752, , 
171598.790, 223845.968, 7.37, 3.602505, , 
183367.452, 223845.968, 7.47, 3.453227, , 
196013.371, 223845.968, 7.57, 3.303144, , 
208091.371, 223960.645, 7.67, 3.169733, , 
220859.984, 223957.032, 7.77, 3.035680, , 
232960.661, 223930.274, 7.87, 2.915371, , 
245379.048, 223747.306, 7.97, 2.796656, , 
257194.258, 223661.968, 8.07, 2.689965, , 
269320.548, 223779.694, 8.16, 2.587471, , 
281402.968, 223956.645, 8.27, 2.490488, , 
292855.903, 223942.758, 8.37, 2.400572, , 
304834.919, 223950.371, 8.46, 2.310429, , 
316121.484, 223873.903, 8.56, 2.227843, , 
327555.952, 223936.903, 8.66, 2.148514, , 
338401.984, 223992.339, 8.76, 2.075761, , 
349601.710, 223914.323, 8.86, 2.001703, , 
360171.097, 223908.968, 8.96, 1.934621, , 
370175.984, 224020.548, 9.06, 1.874082, , 
378547.016, 223956.048, 9.16, 1.823110, , 
387358.048, 223985.629, 9.26, 1.771626, , 
394858.242, 223904.758, 9.36, 1.727656, , 
402780.371, 223895.145, 9.46, 1.682856, , 
408657.726, 223897.823, 9.56, 1.650282, , 
414494.419, 224027.694, 9.66, 1.619672, , 
419561.581, 224041.952, 9.76, 1.592470, , 
422853.565, 224003.790, 9.86, 1.574499, , 
424777.468, 224105.935, 9.96, 1.565309, , 
425960.484, 224083.452, 10.06, 1.558824, , 
426557.161, 224006.581, 10.16, 1.554902, , 
426762.661, 224034.210, 10.25, 1.554095, , 
426715.113, 224051.968, 10.36, 1.554525, , 
426125.823, 224115.435, 10.45, 1.558272, , 
424864.710, 224049.435, 10.55, 1.564279, , 
423965.823, 224094.371, 10.65, 1.569497, , 
423921.677, 224037.000, 10.75, 1.569155, , 
423673.016, 224109.710, 10.85, 1.571206, , 
424153.194, 224232.774, 10.95, 1.569892, , 
424532.081, 224146.355, 11.05, 1.567015, , 
425486.710, 224144.790, 11.15, 1.561944, , 
427105.065, 224101.581, 11.25, 1.552967, 2, 0.795
429497.629, 224105.613, 11.35, 1.540436, , 
432068.629, 224099.613, 11.45, 1.526945, , 
434567.758, 223964.790, 11.55, 1.512611, , 
437797.806, 223969.468, 11.65, 1.495993, , 
441142.597, 223970.516, 11.75, 1.478876, , 
444340.210, 223978.597, 11.85, 1.462704, , 
447370.194, 224014.161, 11.95, 1.447767, , 
450504.452, 224051.468, 12.05, 1.432430, , 
453557.274, 224033.790, 12.15, 1.417054, , 
456452.435, 224093.194, 12.25, 1.403332, , 
458879.226, 224092.790, 12.34, 1.391394, , 
461442.790, 224168.903, 12.44, 1.379621, , 
462944.323, 224278.145, 12.54, 1.373407, , 
464566.774, 224231.403, 12.64, 1.365065, , 
465789.274, 224231.403, 12.74, 1.359150, , 
466689.274, 224231.403, 12.84, 1.354806, , 
467264.306, 224231.403, 12.94, 1.352035, , 
467243.210, 224231.403, 13.04, 1.352137, , 
467344.629, 224231.403, 13.14, 1.351648, , 
467092.984, 224218.694, 13.24, 1.352733, , 
466157.887, 224191.694, 13.34, 1.356972, , 
465094.403, 224246.226, 13.44, 1.362659, , 
463268.274, 224261.274, 13.54, 1.371663, , 
460496.194, 224171.177, 13.64, 1.384265, , 
