FlowCell Text Data File: 250601-3-C2.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-06-01
Time: 20:25:26
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 551199
Source A Zero: 228011.0

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
547026.935, 224868.081, 0.00, -0.014136, , 
544163.871, 224848.226, 0.20, -0.002525, , 
548077.823, 224894.387, 0.30, -0.018192, , 
539207.613, 224939.387, 0.40, 0.018978, , 
543826.242, 224911.903, 0.50, -0.000491, , 
538062.661, 224816.710, 0.60, 0.022534, , 
540647.194, 224857.484, 0.70, 0.012158, , 
539876.774, 224919.194, 0.80, 0.015985, , 
540690.290, 224766.468, 0.90, 0.011068, , 
537637.790, 224718.274, 1.00, 0.023326, , 
542419.935, 224742.419, 1.09, 0.003639, , 
538308.758, 224725.226, 1.20, 0.020589, , 
541994.952, 224750.468, 1.29, 0.005484, , 
539264.371, 224774.435, 1.39, 0.017090, , 
540928.177, 224762.790, 1.49, 0.010041, , 
541123.274, 224903.694, 1.59, 0.010640, , 
538960.210, 224779.774, 1.69, 0.018413, , 
542901.952, 224892.290, 1.79, 0.003141, , 
539524.290, 224827.468, 1.89, 0.016537, , 
543049.468, 224767.403, 1.99, 0.001279, , 
539466.952, 224719.710, 2.09, 0.015697, , 
542224.065, 224965.823, 2.19, 0.006688, , 
540197.242, 225059.177, 2.29, 0.016050, , 
542998.242, 225055.855, 2.39, 0.004378, , 
539601.661, 224996.871, 2.49, 0.017909, , 
543046.016, 224942.161, 2.59, 0.003043, , 
540669.855, 225010.065, 2.69, 0.013590, , 
542787.484, 225028.016, 2.79, 0.004973, , 
533951.452, 224992.355, 2.89, 0.041553, , 
522915.274, 224797.371, 2.99, 0.086603, , 
265458.548, 224314.758, 3.09, 1.607473, , 
79607.516, 223821.677, 3.19, 4.312833, , 
80089.710, 223784.161, 3.28, 4.298866, , 
80238.952, 223782.129, 3.39, 4.294656, , 
79817.210, 223740.758, 3.48, 4.306099, , 
79319.758, 223757.500, 3.58, 4.320337, , 
78199.032, 223799.306, 3.68, 4.352781, , 
77149.871, 223871.726, 3.78, 4.383907, , 
75723.500, 223903.306, 3.88, 4.426220, , 
74181.790, 223852.000, 3.98, 4.471996, , 
72903.339, 223886.113, 4.08, 4.511461, , 
71695.984, 223789.113, 4.18, 4.548067, , 
70396.581, 223974.290, 4.28, 4.591089, , 
68959.548, 223866.016, 4.38, 4.636415, , 
67683.500, 223920.823, 4.48, 4.678999, , 
66466.419, 223905.790, 4.58, 4.719683, , 
65528.371, 223896.242, 4.68, 4.751574, , 
64598.645, 223903.548, 4.78, 4.783806, , 
63633.839, 223879.000, 4.88, 4.817424, , 
62435.274, 223857.032, 4.97, 4.859995, , 
61658.694, 223771.758, 5.08, 4.887304, , 
60884.903, 223795.000, 5.17, 4.915959, , 
59743.435, 223829.274, 5.27, 4.958895, , 
58002.855, 223809.581, 5.37, 5.025236, , 
55642.048, 223761.242, 5.47, 5.118262, , 
53000.177, 223646.290, 5.57, 5.226576, , 
51026.048, 223632.500, 5.67, 5.311861, 1, 0.795
49184.758, 223554.484, 5.77, 5.393785, , 
47576.258, 223555.290, 5.87, 5.468620, , 
46095.323, 223428.645, 5.97, 5.538509, , 
45161.581, 223498.210, 6.07, 5.585264, , 
44160.855, 223532.629, 6.17, 5.636038, , 
43370.387, 223487.226, 6.27, 5.676228, , 
42661.532, 223443.145, 6.37, 5.712870, , 
42101.581, 223506.242, 6.47, 5.743239, , 
41459.097, 223381.484, 6.57, 5.776589, , 
41074.097, 223420.597, 6.67, 5.797979, , 
40835.371, 223415.565, 6.77, 5.811046, , 
40811.548, 223456.597, 6.87, 5.812773, , 
40971.242, 223621.887, 6.97, 5.805648, , 
41384.742, 223670.887, 7.07, 5.783543, , 
41944.984, 223643.984, 7.16, 5.753011, , 
42699.016, 223643.984, 7.27, 5.712915, , 
43692.581, 223643.984, 7.37, 5.661150, , 
44835.323, 223643.984, 7.47, 5.603048, , 
46140.758, 223643.984, 7.57, 5.538460, , 
47739.677, 223407.581, 7.67, 5.459416, , 
49561.081, 223484.484, 7.77, 5.375927, , 
51923.645, 223626.677, 7.87, 5.272560, , 
54209.500, 223548.516, 7.96, 5.174820, , 
56805.194, 223547.839, 8.06, 5.069557, , 
59754.952, 223400.419, 8.16, 4.954145, , 
63096.839, 223545.855, 8.26, 4.833144, , 
66504.935, 223642.548, 8.36, 4.715732, , 
70927.355, 223557.500, 8.46, 4.569993, , 
75484.758, 223572.677, 8.56, 4.430001, , 
80059.323, 223622.226, 8.66, 4.298091, , 
85069.500, 223577.823, 8.76, 4.161041, , 
91005.871, 223479.758, 8.86, 4.008249, , 
97162.565, 223658.532, 8.96, 3.862732, , 
103279.694, 223630.710, 9.06, 3.725051, , 
110115.742, 223642.774, 9.16, 3.580939, , 
117686.226, 223719.661, 9.26, 3.432082, , 
125678.613, 223758.484, 9.36, 3.284605, , 
134034.952, 223770.855, 9.46, 3.139863, , 
142404.484, 223786.177, 9.56, 3.003706, , 
152097.742, 223720.468, 9.66, 2.854850, , 
162302.597, 223813.823, 9.76, 2.709648, , 
171253.371, 223804.258, 9.85, 2.588744, , 
180841.726, 223711.032, 9.95, 2.465207, , 
191050.500, 223679.355, 10.05, 2.341305, , 
202115.016, 223675.484, 10.15, 2.214568, , 
212092.565, 223809.871, 10.25, 2.107481, , 
222545.726, 223655.645, 10.35, 1.997661, , 
231929.274, 223517.258, 10.45, 1.903326, , 
242348.597, 223629.903, 10.55, 1.805565, , 
252912.000, 223575.258, 10.65, 1.709001, , 
264011.145, 223611.581, 10.75, 1.612711, , 
274044.677, 223562.500, 10.85, 1.528276, , 
282818.274, 223477.919, 10.95, 1.456506, , 
293608.661, 223508.194, 11.05, 1.372547, , 
303598.903, 223532.935, 11.15, 1.297498, , 
314119.500, 223524.177, 11.25, 1.220746, 2, 0.795
324931.613, 223627.274, 11.35, 1.145626, , 
334490.790, 223589.048, 11.45, 1.079991, , 
344603.532, 223611.484, 11.55, 1.013187, , 
353990.452, 223602.935, 11.64, 0.952620, , 
364435.645, 223686.371, 11.75, 0.888017, , 
372889.548, 223766.355, 11.84, 0.837214, , 
382672.161, 223809.952, 11.95, 0.779374, , 
390652.484, 223696.903, 12.04, 0.731788, , 
399021.371, 223651.516, 12.14, 0.683630, , 
407946.919, 223641.226, 12.24, 0.633742, , 
415995.468, 223715.500, 12.34, 0.590522, , 
423348.177, 223779.403, 12.44, 0.551736, , 
430002.403, 223825.677, 12.54, 0.517104, , 
437485.258, 223872.177, 12.64, 0.478746, , 
443356.532, 223872.177, 12.74, 0.448745, , 
448757.887, 223872.177, 12.84, 0.421494, , 
452975.000, 223872.177, 12.94, 0.400445, , 
457884.516, 223872.177, 13.04, 0.376185, , 
461760.629, 223872.177, 13.14, 0.357215, , 
465951.403, 223999.097, 13.24, 0.338158, , 
468422.145, 223934.839, 13.34, 0.325611, , 
471478.065, 224018.032, 13.44, 0.311813, , 
474355.548, 223987.952, 13.54, 0.297818, , 
475840.242, 223950.548, 13.64, 0.290409, , 
477685.790, 224037.823, 13.74, 0.282575, , 
477643.774, 224024.097, 13.84, 0.282635, , 
477597.016, 224002.758, 13.94, 0.282641, , 
478492.274, 224032.000, 14.04, 0.278720, , 
479131.726, 224038.048, 14.14, 0.275775, , 
479651.355, 223982.968, 14.24, 0.272783, , 
479817.484, 223984.242, 14.33, 0.272016, , 
480040.210, 223990.452, 14.43, 0.271034, , 
480222.355, 223995.161, 14.54, 0.270228, , 
480714.984, 224003.048, 14.63, 0.267999, , 
480376.258, 224065.532, 14.73, 0.270213, , 
479528.290, 224018.355, 14.83, 0.273716, , 
478734.129, 224016.597, 14.93, 0.277428, , 
477693.435, 223945.484, 15.03, 0.281611, , 
477556.081, 223983.742, 15.13, 0.282642, , 
476589.581, 224010.710, 15.23, 0.287473, , 
475446.290, 223969.661, 15.33, 0.292465, , 
474397.597, 224036.613, 15.43, 0.298107, , 
473721.629, 224006.952, 15.53, 0.301018, , 
472057.210, 223996.032, 15.63, 0.308829, , 
470337.016, 223940.629, 15.73, 0.316488, , 
468772.742, 223974.952, 15.83, 0.324330, , 
467831.871, 224044.242, 15.93, 0.329548, , 
466064.065, 223980.871, 16.03, 0.337431, , 
464890.290, 223999.984, 16.13, 0.343298, , 
463515.677, 224062.677, 16.23, 0.350592, , 
461039.081, 224065.081, 16.32, 0.362672, , 
460157.855, 224044.581, 16.42, 0.366772, , 
458620.484, 224005.323, 16.52, 0.373909, , 
457036.661, 224058.274, 16.62, 0.382226, , 
454800.274, 223955.113, 16.72, 0.392228, , 
453336.161, 223947.823, 16.82, 0.399411, 3, 0.795
451888.081, 223969.323, 16.92, 0.406828, , 
450115.484, 223939.677, 17.02, 0.415375, , 
448270.887, 224025.210, 17.12, 0.425475, , 
446336.855, 224056.097, 17.22, 0.435516, , 
444079.194, 223970.548, 17.32, 0.446069, , 
441967.629, 223971.274, 17.42, 0.456802, , 
439570.597, 224043.887, 17.52, 0.469770, , 
436151.419, 224018.323, 17.62, 0.487087, , 
433340.177, 224023.855, 17.72, 0.501695, , 
429758.113, 223925.403, 17.82, 0.519385, , 
426678.323, 223910.661, 17.92, 0.535422, , 
423411.839, 223956.581, 18.02, 0.553179, , 
419087.081, 223986.371, 18.12, 0.576582, , 
415048.484, 223919.145, 18.22, 0.597699, , 
411067.806, 223919.145, 18.31, 0.619386, , 
406796.984, 223919.145, 18.42, 0.642890, , 
402477.565, 223919.145, 18.52, 0.666913, , 
398005.081, 223919.145, 18.62, 0.692061, , 
393225.597, 223919.145, 18.72, 0.719249, , 
389382.419, 224011.855, 18.82, 0.742283, , 
384851.355, 223912.758, 18.92, 0.767628, , 
380759.226, 224016.290, 19.02, 0.792725, , 
376235.806, 223909.839, 19.12, 0.818551, , 
372960.016, 223948.016, 19.22, 0.838615, , 
370235.387, 223967.500, 19.31, 0.855311, , 
366787.548, 223927.387, 19.41, 0.875963, , 
363685.032, 223984.855, 19.51, 0.895657, , 
361240.435, 223919.129, 19.61, 0.910175, , 
358378.129, 224083.548, 19.71, 0.929729, , 
356954.532, 224139.516, 19.81, 0.939248, , 
354815.500, 224067.516, 19.91, 0.952052, , 
353311.597, 224070.435, 20.01, 0.961640, , 
351259.468, 223984.710, 20.11, 0.973888, , 
349641.500, 224050.484, 20.21, 0.984939, , 
348804.484, 224019.242, 20.31, 0.990019, , 
347311.871, 223965.839, 20.41, 0.999133, , 
