FlowCell Text Data File: 250601-5-E2.csv
Software Version: 2.30
Triax Firmware Version: 0.43
Fractionator Firmware Version 4.211
Date: 2025-06-01
Time: 20:57:12
User: Bard

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 41 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 2
w2t:  x 10^0
Sample Volume: 15 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 14
Distance/fraction: 5.59 mm
Start Distance: 0.00 mm
Volume/fraction: 0.797 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 16 ms
Sample A Zero: 551199
Source A Zero: 228011.0

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
506148.210, 224412.855, 0.00, 0.156092, , 
506548.097, 224412.855, 0.20, 0.154314, , 
506161.435, 224194.548, 0.30, 0.153843, , 
505975.194, 224222.226, 0.40, 0.154949, , 
508337.597, 224285.258, 0.50, 0.145098, , 
506247.710, 224325.161, 0.60, 0.154770, , 
507556.887, 224309.968, 0.70, 0.148805, , 
506938.355, 224448.194, 0.80, 0.152936, , 
507386.371, 224352.097, 0.90, 0.149984, , 
507585.710, 224331.097, 1.00, 0.148889, , 
505985.710, 224256.742, 1.09, 0.155248, , 
506614.597, 224217.935, 1.19, 0.152063, , 
507549.290, 224244.258, 1.29, 0.148179, , 
506048.484, 224238.452, 1.39, 0.154785, , 
507164.645, 224170.274, 1.49, 0.149143, , 
506877.984, 224190.710, 1.59, 0.150620, , 
506411.000, 224273.726, 1.69, 0.153528, , 
507965.952, 224242.710, 1.79, 0.146317, , 
506604.323, 224331.258, 1.89, 0.153246, , 
506921.048, 224255.677, 1.99, 0.151081, , 
505404.226, 224151.984, 2.09, 0.156784, , 
505998.726, 224215.242, 2.19, 0.154774, , 
506082.306, 224147.548, 2.29, 0.153723, , 
506383.613, 224262.065, 2.39, 0.153533, , 
506462.613, 224117.984, 2.49, 0.151735, , 
506439.274, 224200.500, 2.59, 0.152667, , 
505974.242, 224083.742, 2.69, 0.153562, , 
506643.661, 223998.210, 2.79, 0.149728, , 
503886.371, 224047.597, 2.89, 0.162505, , 
461655.823, 223990.274, 2.99, 0.358912, , 
72357.968, 223056.306, 3.08, 4.520003, , 
80216.903, 223122.968, 3.19, 4.288636, , 
79307.435, 223078.258, 3.28, 4.313845, , 
78442.129, 223121.661, 3.38, 4.338972, , 
77591.339, 223075.194, 3.48, 4.363045, , 
77136.597, 223102.290, 3.58, 4.376546, , 
75991.081, 223145.065, 3.68, 4.410648, , 
74955.871, 223126.661, 3.78, 4.441330, , 
73495.677, 223092.516, 3.88, 4.485259, , 
72318.500, 223165.790, 3.98, 4.522335, , 
70938.742, 223229.081, 4.08, 4.566324, , 
69858.758, 223111.758, 4.18, 4.599665, , 
68921.532, 223126.435, 4.28, 4.630209, , 
68095.984, 223084.161, 4.38, 4.656902, , 
67369.113, 223092.855, 4.48, 4.681140, , 
66571.613, 223123.645, 4.58, 4.708250, , 
65864.258, 223097.823, 4.68, 4.732029, , 
65267.371, 223008.371, 4.78, 4.751614, , 
64372.016, 223086.323, 4.88, 4.783486, , 
63182.097, 223052.661, 4.98, 4.825135, , 
61865.629, 222970.177, 5.08, 4.871689, , 
60539.242, 222989.258, 5.17, 4.920655, , 
59205.081, 223033.726, 5.28, 4.971253, , 
57840.484, 223028.823, 5.38, 5.023680, , 
56713.823, 222956.903, 5.47, 5.067223, , 
55581.435, 222887.258, 5.57, 5.111908, , 
54774.226, 222919.113, 5.67, 5.145152, 1, 0.795
54094.548, 223052.048, 5.77, 5.174594, , 
53483.710, 223011.000, 5.87, 5.199736, , 
52984.935, 223044.484, 5.97, 5.221159, , 
52787.742, 223005.581, 6.07, 5.229158, , 
52749.629, 223072.984, 6.17, 5.231463, , 
52919.419, 223093.548, 6.27, 5.224439, , 
53208.758, 222962.000, 6.37, 5.210841, , 
53696.355, 222983.016, 6.47, 5.190524, , 
54293.871, 222983.548, 6.57, 5.165625, , 
55130.339, 222997.210, 6.67, 5.131357, , 
56077.032, 222993.613, 6.77, 5.093004, , 
57245.000, 222953.710, 6.87, 5.046211, , 
58600.710, 222905.935, 6.97, 4.993054, , 
60164.694, 222862.968, 7.07, 4.933346, , 
61914.113, 222862.968, 7.16, 4.868843, , 
64014.548, 222862.968, 7.27, 4.793764, , 
66356.855, 222862.968, 7.37, 4.712890, , 
69020.887, 222862.968, 7.47, 4.624309, , 
71861.597, 222862.968, 7.57, 4.533542, , 
74951.790, 223057.871, 7.67, 4.440759, , 
78414.952, 223005.435, 7.77, 4.338579, , 
82703.806, 223024.210, 7.87, 4.218930, , 
86691.935, 223017.016, 7.97, 4.112873, , 
91155.468, 223006.048, 8.07, 3.999778, , 
96042.871, 222995.355, 8.17, 3.882134, , 
101895.790, 222883.435, 8.26, 3.747877, , 
107852.581, 222975.839, 8.36, 3.620952, , 
114374.645, 222994.984, 8.46, 3.489013, , 
121314.452, 222964.839, 8.56, 3.356144, , 
128555.419, 223067.274, 8.66, 3.226710, , 
136738.371, 222953.935, 8.76, 3.086694, , 
145669.468, 223032.984, 8.86, 2.945105, , 
154439.919, 222915.774, 8.96, 2.812350, , 
163347.935, 222876.484, 9.06, 2.685755, , 
172763.774, 222869.306, 9.16, 2.559562, , 
183754.710, 222892.290, 9.26, 2.420995, , 
194428.065, 222947.500, 9.36, 2.294492, , 
206055.565, 222928.742, 9.46, 2.163589, , 
216657.597, 222884.177, 9.56, 2.050229, , 
228755.290, 222953.403, 9.66, 1.928652, , 
240904.016, 222996.984, 9.76, 1.812641, , 
251777.548, 222948.177, 9.86, 1.712798, , 
262977.484, 222918.032, 9.96, 1.614549, , 
273603.952, 222892.081, 10.06, 1.525140, , 
285250.161, 222945.306, 10.16, 1.431868, , 
296565.581, 223017.516, 10.26, 1.345051, , 
308550.145, 223120.339, 10.35, 1.256935, , 
318732.774, 223070.355, 10.45, 1.183362, , 
329610.226, 223135.548, 10.55, 1.108500, , 
341127.113, 223053.565, 10.65, 1.030383, , 
353028.790, 223074.226, 10.75, 0.953414, , 
364264.210, 223175.532, 10.85, 0.883930, , 
373752.145, 223116.532, 10.95, 0.825469, , 
385244.984, 223136.919, 11.05, 0.757516, , 
395462.177, 223109.629, 11.15, 0.698334, , 
405987.097, 223151.242, 11.25, 0.639644, 2, 0.795
416633.758, 223131.774, 11.35, 0.581192, , 
426227.806, 223209.113, 11.45, 0.530738, , 
436440.790, 223285.645, 11.55, 0.478222, , 
446487.839, 223338.871, 11.65, 0.427539, , 
455851.677, 223333.194, 11.75, 0.380774, , 
464450.161, 223328.855, 11.85, 0.338677, , 
472465.274, 223333.000, 11.95, 0.300213, , 
480643.581, 223361.403, 12.04, 0.261878, , 
487737.597, 223431.887, 12.15, 0.229616, , 
495692.419, 223395.016, 12.24, 0.192837, , 
501824.032, 223410.371, 12.35, 0.165325, , 
508331.274, 223389.597, 12.44, 0.136121, , 
513845.629, 223398.806, 12.54, 0.111933, , 
519776.113, 223420.339, 12.64, 0.086326, , 
524084.952, 223420.339, 12.74, 0.067747, , 
528055.726, 223420.339, 12.84, 0.050760, , 
531969.194, 223420.339, 12.94, 0.034144, , 
535145.629, 223420.339, 13.04, 0.020746, , 
538748.323, 223420.339, 13.14, 0.005647, , 
541779.339, 223424.952, 13.24, -0.006932, , 
544662.935, 223449.016, 13.34, -0.018636, , 
546586.548, 223448.468, 13.44, -0.026576, , 
548879.435, 223477.000, 13.54, -0.035709, , 
550786.371, 223517.161, 13.64, -0.043110, , 
552378.419, 223562.919, 13.74, -0.049144, , 
553522.113, 223529.129, 13.84, -0.054139, , 
554567.484, 223543.726, 13.94, -0.058238, , 
555952.758, 223621.710, 14.04, -0.063068, , 
556578.903, 223563.855, 14.14, -0.066183, , 
557741.516, 223591.710, 14.23, -0.070599, , 
558232.323, 223556.242, 14.34, -0.072935, , 
558542.113, 223575.726, 14.43, -0.073988, , 
559404.258, 223631.161, 14.53, -0.076901, , 
559418.677, 223631.081, 14.64, -0.076960, , 
559636.903, 223582.081, 14.73, -0.078331, , 
558897.758, 223576.258, 14.83, -0.075415, , 
559048.855, 223599.935, 14.93, -0.075785, , 
558637.645, 223629.371, 15.03, -0.073833, , 
558615.177, 223659.935, 15.13, -0.073435, , 
558007.484, 223619.274, 15.23, -0.071394, , 
557375.274, 223595.984, 15.33, -0.069078, , 
556693.048, 223656.306, 15.43, -0.065714, , 
556231.919, 223627.355, 15.53, -0.064141, , 
555418.065, 223688.226, 15.63, -0.060233, , 
554070.613, 223669.774, 15.73, -0.054953, , 
553111.774, 223739.452, 15.83, -0.050354, , 
551809.548, 223631.097, 15.93, -0.046139, , 
551053.516, 223597.226, 16.03, -0.043395, , 
550198.065, 223691.758, 16.13, -0.038947, , 
549039.097, 223665.532, 16.23, -0.034466, , 
546266.177, 223602.000, 16.33, -0.023710, , 
546191.065, 223594.355, 16.43, -0.023478, , 
545239.290, 223533.500, 16.53, -0.020166, , 
544063.677, 223601.371, 16.63, -0.014625, , 
542427.339, 223617.952, 16.72, -0.007679, , 
541138.306, 223619.339, 16.82, -0.002311, 3, 0.795
540057.355, 223691.919, 16.92, 0.002919, , 
538222.500, 223627.855, 17.02, 0.009933, , 
536495.323, 223586.000, 17.12, 0.016745, , 
534591.597, 223550.677, 17.22, 0.024390, , 
532708.403, 223608.903, 17.32, 0.032917, , 
531487.032, 223773.855, 17.42, 0.039742, , 
528977.774, 223662.145, 17.52, 0.049269, , 
526503.871, 223689.306, 17.62, 0.060091, , 
523579.226, 223682.452, 17.72, 0.072558, , 
520592.597, 223486.597, 17.82, 0.083461, , 
518326.774, 223556.306, 17.92, 0.093979, , 
515777.613, 223675.710, 18.02, 0.106275, , 
512874.742, 223696.290, 18.12, 0.119184, , 
509475.742, 223618.177, 18.22, 0.133362, , 
506632.855, 223618.177, 18.32, 0.145955, , 
503400.887, 223618.177, 18.42, 0.160357, , 
500119.355, 223618.177, 18.52, 0.175075, , 
495888.177, 223618.177, 18.62, 0.194195, , 
493253.468, 223618.177, 18.72, 0.206184, , 
490308.452, 223669.548, 18.82, 0.220178, , 
487385.097, 223677.081, 18.92, 0.233711, , 
484251.677, 223641.855, 19.02, 0.247872, , 
480980.419, 223611.194, 19.12, 0.262817, , 
478337.290, 223649.468, 19.22, 0.275603, , 
476330.097, 223642.403, 19.32, 0.284995, , 
473296.290, 223636.581, 19.42, 0.299316, , 
471138.532, 223695.403, 19.51, 0.310191, , 
469177.194, 223623.855, 19.61, 0.318859, , 
467111.177, 223595.290, 19.71, 0.328503, , 
465566.129, 223591.532, 19.81, 0.335921, , 
464671.113, 223557.516, 19.91, 0.339909, , 
463696.000, 223557.000, 20.01, 0.344632, , 
462545.758, 223527.645, 20.11, 0.349925, , 
461672.129, 223529.839, 20.21, 0.354202, , 
461712.903, 223502.823, 20.31, 0.353731, , 
461405.032, 223521.871, 20.41, 0.355424, , 
460336.016, 223450.065, 20.51, 0.359921, , 
460554.016, 223538.081, 20.61, 0.359742, , 
460913.177, 223578.694, 20.71, 0.358396, , 
461769.823, 223614.661, 20.81, 0.354580, , 
462747.823, 223602.177, 20.91, 0.349693, , 
464065.081, 223652.113, 21.01, 0.343798, , 
465120.871, 223639.000, 21.11, 0.338552, , 
467613.694, 223735.258, 21.21, 0.327492, , 
469685.790, 223811.419, 21.31, 0.318307, , 
471832.968, 223747.694, 21.40, 0.307402, , 
473347.677, 223702.710, 21.50, 0.299737, , 
476270.532, 223764.968, 21.61, 0.286510, , 
479015.113, 223694.032, 21.70, 0.272865, , 
481500.242, 223741.371, 21.80, 0.261696, , 
484029.210, 223786.065, 21.90, 0.250356, , 
485142.919, 223634.403, 22.00, 0.243659, , 
487522.823, 223604.081, 22.10, 0.232341, , 
489226.419, 223628.677, 22.20, 0.224738, , 
490559.903, 223662.532, 22.30, 0.218953, , 
490472.952, 223642.258, 22.40, 0.219148, 4, 0.795
490595.984, 223631.048, 22.50, 0.218471, , 
490812.210, 223606.323, 22.60, 0.217230, , 
489613.210, 223561.581, 22.70, 0.222284, , 
489374.565, 223552.435, 22.80, 0.223289, , 
488022.097, 223685.823, 22.90, 0.230860, , 
487698.177, 223687.871, 23.00, 0.232375, , 
486430.161, 223787.887, 23.10, 0.239239, , 
486322.161, 223796.258, 23.20, 0.239823, , 
485000.677, 223741.661, 23.29, 0.245398, , 
485157.968, 223925.887, 23.39, 0.246520, , 
484141.113, 223901.452, 23.49, 0.250996, , 
484132.081, 223834.419, 23.59, 0.250364, , 
483931.629, 223827.290, 23.69, 0.251225, , 
484969.339, 223840.306, 23.79, 0.246535, , 
485178.032, 223822.177, 23.89, 0.245385, , 
486441.032, 223885.548, 24.00, 0.240171, , 
487589.968, 223885.548, 24.10, 0.234862, , 
489322.032, 223885.548, 24.20, 0.226882, , 
490557.210, 223848.887, 24.30, 0.220840, , 
493151.387, 223899.339, 24.40, 0.209477, , 
495868.194, 223999.484, 24.50, 0.198120, , 
499366.968, 223937.742, 24.60, 0.181677, , 
502352.613, 223861.387, 24.69, 0.167494, , 
506588.177, 223862.290, 24.79, 0.148608, , 
509759.226, 223914.532, 24.89, 0.135091, , 
514870.323, 223915.710, 24.99, 0.112651, , 
519586.613, 224002.790, 25.09, 0.093005, , 
524485.790, 224000.435, 25.19, 0.071862, , 
528292.194, 224060.871, 25.29, 0.056196, , 
533506.032, 224164.419, 25.39, 0.035134, , 
537348.790, 224226.097, 25.49, 0.019602, , 
541661.403, 224216.500, 25.59, 0.001516, , 
544837.419, 224201.419, 25.69, -0.011792, , 
547187.468, 224207.419, 25.79, -0.021418, , 
547306.484, 224161.548, 25.89, -0.022368, , 
547225.855, 224109.032, 25.99, -0.022563, , 
544389.177, 224025.710, 26.09, -0.011704, , 
539983.565, 224046.306, 26.19, 0.006789, , 
532009.258, 224137.435, 26.29, 0.041186, , 
521477.177, 224135.887, 26.39, 0.086169, , 
507920.726, 224110.532, 26.48, 0.145191, , 
491692.081, 224020.661, 26.59, 0.217366, , 
473392.258, 224032.387, 26.68, 0.302839, , 
454479.565, 224030.984, 26.78, 0.394578, , 
434096.742, 224075.984, 26.89, 0.498293, , 
414649.081, 224090.500, 26.98, 0.601587, , 
396413.113, 224089.823, 27.08, 0.702795, , 
379454.065, 223934.210, 27.18, 0.799628, , 
364541.484, 223901.839, 27.28, 0.889530, , 
351499.306, 223787.000, 27.38, 0.970365, , 
340638.629, 223736.871, 27.48, 1.040492, , 
331557.532, 223849.677, 27.58, 1.102435, , 
324510.000, 223804.161, 27.68, 1.150327, , 
318734.387, 223805.210, 27.78, 1.190752, , 
315231.048, 223822.129, 27.88, 1.215794, , 
312809.710, 223912.113, 27.98, 1.234052, 5, 0.795
311912.790, 223849.581, 28.08, 1.239885, , 
312081.468, 223812.629, 28.18, 1.238297, , 
314149.790, 223790.968, 28.28, 1.223213, , 
317221.742, 223750.177, 28.38, 1.200904, , 
322003.274, 223859.629, 28.47, 1.168336, , 
327850.226, 223840.452, 28.58, 1.127647, , 
335378.129, 223960.984, 28.68, 1.077769, , 
343938.194, 223888.242, 28.77, 1.020320, , 
353726.742, 223845.774, 28.87, 0.956740, , 
364464.565, 223849.032, 28.97, 0.889474, , 
376321.597, 223944.339, 29.07, 0.818385, , 
389654.694, 224072.581, 29.17, 0.741320, , 
402600.581, 224030.048, 29.27, 0.667339, , 
416870.355, 224113.048, 29.37, 0.589790, , 
431376.403, 224113.048, 29.47, 0.512812, , 
446060.274, 224113.048, 29.57, 0.437483, , 
460425.661, 224113.048, 29.67, 0.366150, , 
474598.823, 224113.048, 29.77, 0.297920, , 
489007.258, 224113.048, 29.87, 0.230616, , 
501886.210, 224190.274, 29.97, 0.172888, , 
514742.968, 224360.984, 30.07, 0.117678, , 
526714.532, 224306.887, 30.17, 0.065396, , 
538416.629, 224338.274, 30.27, 0.016260, , 
549623.613, 224313.081, 30.37, -0.030354, , 
560781.290, 224379.371, 30.47, -0.074917, , 
570508.500, 224409.597, 30.57, -0.113315, , 
579837.210, 224445.048, 30.66, -0.149460, , 
589058.806, 224469.581, 30.76, -0.184723, , 
597592.742, 224481.726, 30.86, -0.216970, , 
605278.597, 224516.726, 30.96, -0.245378, , 
612560.629, 224476.290, 31.06, -0.272697, , 
619512.581, 224549.597, 31.16, -0.297358, , 
626339.968, 224676.419, 31.26, -0.320753, , 
632420.629, 224728.935, 31.36, -0.341970, , 
638304.661, 224743.952, 31.46, -0.362660, , 
643501.645, 224790.919, 31.56, -0.380439, , 
648074.032, 224731.694, 31.66, -0.396966, , 
652568.306, 224710.952, 31.76, -0.412726, , 
656755.903, 224759.677, 31.86, -0.426633, , 
660160.145, 224793.468, 31.96, -0.437929, , 
662784.016, 224771.548, 32.06, -0.447076, , 
664773.742, 224764.661, 32.16, -0.453891, , 
666487.823, 224867.774, 32.26, -0.458654, , 
667366.194, 224870.129, 32.36, -0.461594, , 
667727.468, 224872.887, 32.46, -0.462784, , 
667068.645, 224955.258, 32.56, -0.459739, , 
665207.323, 224922.032, 32.65, -0.453783, , 
661846.968, 224850.065, 32.75, -0.443106, , 
657112.839, 224837.742, 32.85, -0.427074, , 
650891.548, 224866.581, 32.95, -0.405378, , 
643314.145, 224796.194, 33.05, -0.379730, , 
635020.790, 224842.661, 33.15, -0.350065, , 
625751.194, 224794.177, 33.25, -0.317457, , 
616239.581, 224798.984, 33.35, -0.282939, , 
606729.387, 224898.210, 33.45, -0.246945, , 
596698.468, 224815.774, 33.55, -0.210253, , 
587342.726, 224868.081, 33.65, -0.174165, 6, 0.808
578717.500, 224823.290, 33.75, -0.141321, , 
571011.113, 224845.710, 33.85, -0.110927, , 
563922.032, 224774.677, 33.95, -0.083525, , 
558428.306, 224813.339, 34.05, -0.061106, , 
553848.548, 224760.629, 34.15, -0.043102, , 
550850.000, 224836.516, 34.25, -0.030125, , 
548828.177, 224798.516, 34.35, -0.022230, , 
548304.484, 224913.629, 34.45, -0.018930, , 
548722.242, 224877.000, 34.54, -0.021010, , 
550496.500, 224926.500, 34.65, -0.027780, , 
553065.839, 224953.177, 34.74, -0.037992, , 
556569.645, 224845.758, 34.84, -0.053279, , 
561233.484, 224896.226, 34.94, -0.071553, , 
566542.371, 224836.355, 35.04, -0.093340, , 
573377.532, 224836.355, 35.14, -0.120328, , 
580655.871, 224836.355, 35.25, -0.148715, , 
587734.065, 224836.355, 35.35, -0.175982, , 
595256.694, 224836.355, 35.45, -0.204603, , 
603609.435, 224836.355, 35.55, -0.235962, , 
611533.419, 225015.935, 35.65, -0.263516, , 
619239.645, 225107.968, 35.74, -0.290778, , 
626260.500, 225070.952, 35.84, -0.316519, , 
633332.484, 225048.452, 35.94, -0.342015, , 
639948.048, 225008.645, 36.04, -0.365798, , 
646000.548, 224976.516, 36.15, -0.387304, , 
651969.274, 225123.597, 36.24, -0.406530, , 
657129.468, 225130.823, 36.34, -0.424200, , 
661886.065, 225118.000, 36.44, -0.440559, , 
666183.226, 225183.516, 36.54, -0.454467, , 
668933.016, 225157.468, 36.64, -0.463997, , 
670942.694, 225167.339, 36.74, -0.470650, , 
672424.097, 225182.903, 36.84, -0.475457, , 
672739.774, 225187.371, 36.94, -0.476469, , 
671658.419, 225171.065, 37.04, -0.473012, , 
669572.613, 225192.710, 37.14, -0.465796, , 
666018.726, 225263.919, 37.24, -0.453108, , 
660419.484, 225209.403, 37.34, -0.434653, , 
653496.097, 225218.984, 37.44, -0.410841, , 
645316.339, 225158.274, 37.54, -0.383101, , 
636198.371, 225209.806, 37.64, -0.350562, , 
626037.161, 225102.371, 37.74, -0.315402, , 
615963.484, 225090.081, 37.84, -0.279019, , 
605753.290, 225026.403, 37.93, -0.242040, , 
596959.194, 225119.516, 38.03, -0.208198, , 
588594.016, 225138.790, 38.14, -0.176247, , 
581484.258, 225116.065, 38.23, -0.149125, , 
575623.355, 225128.339, 38.33, -0.126205, , 
571489.113, 225211.968, 38.43, -0.109148, , 
568074.774, 225145.661, 38.53, -0.096325, , 
566158.194, 225045.387, 38.63, -0.089722, , 
565612.597, 225046.387, 38.73, -0.087542, , 
566581.984, 225032.355, 38.83, -0.091536, , 
568425.419, 224955.371, 38.93, -0.099616, , 
572144.452, 225068.161, 39.03, -0.113164, , 
576261.032, 225005.500, 39.13, -0.129925, , 
581989.952, 225121.919, 39.23, -0.151023, 7, 0.796
588735.065, 225104.565, 39.33, -0.177128, , 
595554.613, 225011.371, 39.43, -0.203978, , 
602253.145, 224834.065, 39.53, -0.230923, , 
610257.742, 224928.935, 39.63, -0.259687, , 
618272.113, 224950.081, 39.73, -0.288838, , 
625934.161, 224966.565, 39.83, -0.316390, , 
633337.677, 224997.258, 39.93, -0.342545, , 
639598.629, 225035.677, 40.03, -0.364299, , 
645284.742, 225148.742, 40.12, -0.383086, , 
650125.694, 225169.806, 40.22, -0.399696, , 
653071.355, 225067.129, 40.32, -0.410896, , 
655054.371, 225034.339, 40.42, -0.418047, , 
655763.097, 225073.645, 40.52, -0.420087, , 
654827.694, 225065.323, 40.62, -0.416958, , 
652366.968, 225025.468, 40.72, -0.408884, , 
648714.161, 225082.500, 40.82, -0.395677, , 
643676.290, 225069.565, 40.93, -0.378262, , 
637960.371, 225069.565, 41.03, -0.358188, , 
631480.661, 225069.565, 41.13, -0.335214, , 
624193.645, 225014.242, 41.22, -0.309647, , 
617551.177, 225070.097, 41.32, -0.285012, , 
611303.177, 225164.774, 41.42, -0.261181, , 
605379.016, 225171.645, 41.52, -0.239197, , 
600316.355, 225180.839, 41.62, -0.220206, , 
596269.032, 225148.048, 41.72, -0.205310, , 
593442.661, 225184.935, 41.82, -0.194248, , 
591671.935, 225106.806, 41.92, -0.188304, , 
591319.935, 225123.774, 42.02, -0.186795, , 
592139.306, 225112.065, 42.12, -0.190029, , 
594460.177, 225202.726, 42.22, -0.197926, , 
597464.387, 225241.129, 42.32, -0.208886, , 
601422.290, 225279.806, 42.42, -0.223359, , 
605998.048, 225258.661, 42.52, -0.240627, , 
611131.129, 225263.016, 42.62, -0.259566, , 
616739.145, 225298.903, 42.72, -0.279764, , 
622698.226, 225375.548, 42.81, -0.300638, , 
628103.016, 225393.129, 42.92, -0.319911, , 
633167.710, 225387.710, 43.01, -0.338039, , 
637541.581, 225311.710, 43.11, -0.354290, , 
641695.726, 225399.403, 43.21, -0.368031, , 
644074.742, 225296.435, 43.31, -0.377387, , 
646130.935, 225355.500, 43.41, -0.383970, , 
646892.855, 225450.194, 43.51, -0.385677, , 
